# Spcode.csv,,,,,,,,
# Derived from NOAA Species code book and NBS survey ,,,,,,,,
# Taxon.Confidence  indicates how confident  species Iding is. ,,,,,,,,
"# Taxon, Taxon2, Taxon3, Ecotype are arbitrary classifications to group individual species to some cohesive groups.",,,,,,,,
#,,,,,,,,
#,,,,,,,,
Spcode,me,Cme,Genus,Taxon.Confidence,Taxon,Taxon2,Taxon3,Ecotype
23055,Osmerus mordax,rainbow smelt,Osmerus,High,Smelt,swim_f,vertebrate,Swimmer
23201,Salmonidae,salmon and trouts unident,Salmonidae,,Salmon,swim_f,vertebrate,Swimmer
23202,Oncorhynchus,Salmon Unid.,,,Salmon,swim_f,vertebrate,Swimmer
23220,Oncorhynchus tshawytscha,chinook salmon,Oncorhynchus,High,Salmon,swim_f,vertebrate,Swimmer
23225,Oncorhynchus kisutch,coho salmon,Oncorhynchus,High,Salmon,swim_f,vertebrate,Swimmer
23230,Oncorhynchus gorbuscha,Pink Salmon,,High,Salmon,swim_f,vertebrate,Swimmer
23235,Oncorhynchus keta,chum salmon,Oncorhynchus,High,Salmon,swim_f,vertebrate,Swimmer
23240,Oncorhynchus nerka,sockeye salmon,Oncorhynchus,,Salmon,swim_f,vertebrate,Swimmer
23800,Stichaeidae,Prickleback Unid.,,High,Prickl_L,Prickleback,vertebrate,Bottom-dwelling
23801,Lumpenus sp.,None,Lumpenus,,Prickl_L,Prickleback,vertebrate,Bottom-dwelling
23803,Eumesogrammus praecisus,fourline skeblenny,Eumesogrammus,High,Prickl_O,Prickleback,vertebrate,Bottom-dwelling
23804,Stichaeus punctatus,Arctic shanny,Stichaeus,Moderate,Prickl_O,Prickleback,vertebrate,Bottom-dwelling
23805,Lumpenus maculatus  (=Leptoclinus maculatus),daubed shanny,Lumpenus,Moderate,Prickl_L,Prickleback,vertebrate,Bottom-dwelling
23806,Lumpenus medius,stout eelblenny,Lumpenus,Moderate,Prickl_L,Prickleback,vertebrate,Bottom-dwelling
23807,Lumpenus fabricii,slender eelblenny,Lumpenus,Moderate,Prickl_L,Prickleback,vertebrate,Bottom-dwelling
23808,Lumpenus sagitta,ske prickleback,Lumpenus,Moderate,Prickl_L,Prickleback,vertebrate,Bottom-dwelling
23809,Acantholumpenus mackayi,pighead prickleback,Acantholumpenus,Moderate,Prickl_O,Prickleback,vertebrate,Bottom-dwelling
23836,Lumpenella longirostris,Longsnout Prickleback,,Moderate,Prickl_O,Prickleback,vertebrate,Bottom-dwelling
23841,Chirolophis decoratus,decorated warbonnet,Chirolophis,,Warbonnet,bottom_f,vertebrate,Bottom-dwelling
23843,Chirolophis snyderi,bearded warbonnet,Chirolophis,Low,Warbonnet,bottom_f,vertebrate,Bottom-dwelling
24100,Zoarcidae,eelpout unidentNone,Zoarcidae,,Eelpout,Eelpout,vertebrate,Bottom-dwelling
24180,Lycodes sp.,None,Lycodes,High,Eelpout,Eelpout,vertebrate,Bottom-dwelling
24184,Lycodes raridens,marbled eelpout  (prevNone sparse toothed lycod),Lycodes,High,Eelpout,Eelpout,vertebrate,Bottom-dwelling
