# 1996 Trawl survey species data,,,,,,,,,,,
# Subsamples were weights and numbers were already converted to whole weight and numbers,,,,,,,,,,,
# Original Subsample data could not be located,,,,,,,,,,,
#,,,,,,,,,,,
#,,,,,,,,,,,
#,,,,,,,,,,,
Year,Haul,Spcode,Wt.Sample1,No.Sample2,Wt.Sample2,No.Sample2,Sample_kg,Sample_n,Whole_kg,Whole_n,Comments
1996,17,95000,0.1,0,0,0,,,0.3,0,
1996,17,99999,0,0,0,0,,,320,0,
1996,17,99999,5,0,0,0,,,14.4,0,
1996,18,10210,0.9,18,0,0,,,5.5,111,
1996,18,10285,0.4,6,0,0,,,2.5,37,
1996,18,20040,0.05,1,0,0,,,0.3,6,
1996,18,21314,0.18,6,0,0,,,1.1,37,
1996,18,21371,2.8,13,0,0,,,17.3,80,
1996,18,21735,4.7,67,0,0,,,29,413,
1996,18,23055,0.1,1,0,0,,,0.6,6,
1996,18,23807,0.05,1,0,0,,,0.3,6,
1996,18,40500,0.1,1,0,0,,,0.6,6,
1996,18,43040,0.2,2,0,0,,,1.2,12,
1996,18,66502,0.1,4,0,0,,,0.6,25,
1996,18,66548,0.01,1,0,0,,,0.1,6,
1996,18,66611,0.2,9,0,0,,,1.2,55,
1996,18,68781,0.5,3,0,0,,,3.1,18,
1996,18,69010,0.2,3,0,0,,,1.2,18,
1996,18,69090,0.2,1,0,0,,,1.2,6,
1996,18,71001,0.02,0,0,0,,,0.1,0,
1996,18,71882,0.1,1,0,0,,,0.6,6,
1996,18,75284,0.05,1,0,0,,,0.3,6,
1996,18,80020,2.1,2,0,0,,,12.9,12,
1996,18,80200,12.4,21,0,0,,,76.4,129,
1996,18,80594,0.05,2,0,0,,,0.3,12,
1996,18,81095,0.1,1,0,0,,,0.6,6,
1996,18,81742,16.3,0,0,0,,,100.5,0,
1996,18,82510,3.2,74,0,0,,,19.7,456,
1996,18,83020,0.3,3,0,0,,,1.8,18,
1996,18,99999,0.6,0,0,0,,,3.7,0,
1996,19,10210,3.3,60,0,0,,,33.4,608,
1996,19,10220,3.7,4,0,0,,,37.5,41,
1996,19,10285,0.5,4,0,0,,,5.1,41,
1996,19,21314,0.25,8,0,0,,,2.5,81,
1996,19,21371,0.02,1,0,0,,,0.2,10,
1996,19,21735,3.9,52,0,0,,,39.5,527,
1996,19,23055,0.25,9,0,0,,,2.5,91,
1996,19,23807,0.02,3,0,0,,,0.2,30,
1996,19,24189,0.01,1,0,0,,,0.1,10,
1996,19,41201,0.65,0,0,0,,,6.6,0,
1996,19,43040,0.15,4,0,0,,,1.5,41,
1996,19,56310,0.05,6,0,0,,,0.5,61,
1996,19,65205,0.5,5,0,0,,,5.1,51,
1996,19,66548,0.1,24,0,0,,,1,243,
1996,19,66601,0.01,1,0,0,,,0.1,10,
1996,19,66611,0.3,21,0,0,,,3,213,
