Year,Haul,Spcode,subsample_w_kg,subsample_n,wholesample_w_kg,wholesample_n
1999,28,20040,0.04,1,,
1999,28,21371,1.5,1,,
1999,28,21384,0.2,2,,
1999,28,21735,1.8,28,,
1999,28,23055,0.1,4,,
1999,28,23807,0.04,1,,
1999,28,24185,0.16,1,,
1999,28,24189,,,1.3,2
1999,28,40500,0.02,1,,
1999,28,41201,0.08,9,,
1999,28,43000,1.52,46,,
1999,28,66045,0.01,4,,
1999,28,66050,0.08,16,,
1999,28,66203,0.01,2,,
1999,28,66530,0.04,5,,
1999,28,66601,0.02,3,,
1999,28,66611,0.18,38,,
1999,28,68577,0.42,6,,
1999,28,68580,0.1,2,,
1999,28,68781,2.52,28,,
1999,28,69061,0.12,4,,
1999,28,69322,22.4,28,,
1999,28,71001,0.04,1,,
1999,28,71772,0.1,1,,
1999,28,80010,3.1,7,,
1999,28,80200,2.1,12,,
1999,28,80540,0.01,1,,
1999,28,80590,0.34,5,,
1999,28,80594,0.02,2,,
1999,28,81095,0.08,2,,
1999,28,81742,20.5,239,,
1999,28,82510,1.3,23,,
1999,28,83010,1.8,21,,
1999,28,99993,0.1,,,
1999,28,99999,2.38,,,
1999,29,0,0,,,
1999,30,69322,33.1,39,,
1999,31,10210,1.96,99,,
1999,31,10220,5,6,,
1999,31,10285,0.68,14,,
1999,31,20040,0.02,1,,
1999,31,21314,0.02,1,,
1999,31,21371,0.2,2,,
1999,31,21378,0.2,1,,
1999,31,21384,0.06,1,,
1999,31,21735,2.84,43,,
1999,31,21740,0.04,5,,
1999,31,23055,0.02,3,,
1999,31,23807,0.04,6,,
1999,31,41201,0.01,1,,
1999,31,43000,0.06,1,,
1999,31,56312,0.01,1,,
1999,31,66203,0.01,1,,
1999,31,66530,0.22,42,,
1999,31,66548,0.12,21,,
1999,31,68580,0.04,1,,
1999,31,68781,0.48,2,,
1999,31,69322,11.2,16,,
1999,31,80010,2.6,6,,
1999,31,80200,4.3,11,,
1999,31,81742,27.1,508,,
1999,31,83010,0.76,10,,
1999,31,99999,0.02,,,
1999,32,69322,16.8,23,,
1999,33,10210,1.22,36,,
1999,33,10211,0.12,1,,
1999,33,10220,4.3,11,,
1999,33,10285,1.72,16,,
1999,33,21110,0.26,3,,
1999,33,21314,0.03,5,,
1999,33,21315,0.12,7,,
1999,33,21371,0.46,2,,
1999,33,21384,0.36,4,,
1999,33,21735,2.5,27,,
1999,33,21740,0.04,3,,
1999,33,23055,0.22,2,,
1999,33,23807,0.04,1,,
1999,33,56312,0.01,1,,
1999,33,66502,0.01,1,,
1999,33,66530,0.3,13,,
1999,33,66548,0.08,13,,
1999,33,66610,0.04,3,,
1999,33,68580,0.01,1,,
1999,33,68781,4.2,16,,
1999,33,69322,5.1,8,,
1999,33,75330,0.01,1,,
1999,33,80010,4.5,12,,
1999,33,80200,5.4,21,,
1999,33,81742,33.3,391,,
1999,33,83010,2.65,43,,
1999,33,98000,0.06,,,
1999,33,99999,0.3,,,
1999,34,10210,1.07,31,,
1999,34,10220,4.6,4,,
1999,34,10285,0.3,5,,
1999,34,20040,0.1,4,,
1999,34,21314,0.12,4,,
1999,34,21371,0.18,1,,
1999,34,21378,0.12,1,,
1999,34,21387,0.12,2,,
1999,34,21735,0.5,13,,
1999,34,21740,0.02,1,,
1999,34,23055,0.1,3,,
1999,34,23807,0.01,1,,
1999,34,24185,0.04,1,,
1999,34,40500,0.24,3,,
1999,34,41201,0.06,3,,
1999,34,43000,0.02,1,,
1999,34,56300,0.01,1,,
1999,34,56312,0.01,1,,
1999,34,66530,0.01,2,,
1999,34,66601,0.02,1,,
1999,34,66611,0.12,14,,
1999,34,68577,0.01,1,,
1999,34,68781,1.7,8,,
1999,34,69061,0.01,1,,
1999,34,69322,5.7,4,,
1999,34,71001,0.02,,,
1999,34,71772,0.02,1,,
