# NMFS_1976_1991_Catch.csv,,,,
# Derived from NOAA Kodiak ,,,,
"# Expaned whole weight and count by year, Haul, and Species code ",,,,
#,,,,
#,,,,
#,,,,
Year,Haul,Spcode,Total_n,Weight_kg
1976,147,10210,30,2.495
1976,147,10285,20,3.084
1976,147,20040,1,0.045
1976,147,21368,2,0.227
1976,147,21377,10,2.268
1976,147,21388,1,0.091
1976,147,21725,20,0.363
1976,147,21735,186,9.299
1976,147,23055,2,0.045
1976,147,23807,11,0.318
1976,147,23809,1,0.091
1976,147,24189,1,0.136
1976,147,40500,2,1.8
1976,147,66530,7,0.045
1976,147,66611,19,0.181
1976,147,69090,16,1.242
1976,147,69120,1,0.072
1976,147,71753,4,0.544
1976,147,80200,6,1.8
1976,147,81742,153,33.6
1976,147,99990,,4.128
1976,148,10210,8,0.454
1976,148,10211,1,0.091
1976,148,10220,4,6.35
1976,148,10285,15,1.905
1976,148,20040,4,0.091
1976,148,20061,1,0.045
1976,148,21110,20,1.134
1976,148,21371,1,0.907
1976,148,21735,193,8.392
1976,148,21740,2,0.045
1976,148,23055,17,0.363
1976,148,23807,3,0.091
1976,148,24185,1,0.091
1976,148,24189,2,0.181
1976,148,41201,36,0.7
1976,148,43000,9,0.7
1976,148,66611,4,0.045
1976,148,69061,20,0.225
1976,148,69086,50,7.246
1976,148,69090,10,0.725
1976,148,69120,560,28.357
1976,148,69322,5,3.81
1976,148,71756,1,0.091
1976,148,71772,2,0.181
1976,148,71882,1,0.045
1976,148,71884,2,0.318
1976,148,74562,100,0.318
1976,148,75285,1,0.045
1976,148,82510,1,0.01
1976,148,98000,1,1.5
1976,148,98082,441,15.9
1976,148,99990,,26.853
1976,149,10210,14,1.179
1976,149,10211,1,0.091
1976,149,10220,3,3.629
1976,149,10285,3,1.361
1976,149,21110,3,0.227
1976,149,21315,1,0.091
1976,149,21368,1,0.454
1976,149,21371,1,0.907
1976,149,21735,453,17.871
1976,149,21932,1,0.045
1976,149,23055,29,0.68
1976,149,23807,3,0.136
1976,149,41201,75,1.5
1976,149,43000,20,2
1976,149,66530,1,0.045
1976,149,66611,1,0.045
1976,149,69086,120,12.319
1976,149,69120,340,18.309
1976,149,71772,2,0.181
1976,149,71882,1,0.136
1976,149,74080,1,0.045
1976,149,75285,1,0.045
1976,149,80200,23,6.8
1976,149,80595,4,0.1
1976,149,81742,623,137.1
1976,149,82510,5,0.4
1976,149,83020,8,1.134
1976,149,98000,1,1.5
1976,149,98082,45,1.6
1976,149,99990,,16.239
1976,150,10155,2,0.454
1976,150,10210,5,0.635
1976,150,10285,11,1.406
1976,150,21377,6,1.179
1976,150,21725,1,0.045
1976,150,21735,418,5.171
1976,150,23055,14,0.181
1976,150,23809,1,0.091
1976,150,66530,1,0.045
1976,150,69086,5,0.58
1976,150,69120,11,0.87
1976,150,81742,50,10.886
1976,150,83020,1,0.227
1976,150,99990,,0.363
1976,151,10155,2,0.454
1976,151,10210,22,0.907
1976,151,10220,2,0.907
1976,151,10285,10,1.179
1976,151,21110,74,4.082
1976,151,21368,1,0.227
1976,151,21377,4,2.268
1976,151,21725,6,0.227
1976,151,21735,863,9.072
1976,151,23055,58,1.814
1976,151,41201,1,0.03
1976,151,69090,4,0.386
1976,151,69120,12,0.58
1976,151,69322,2,1.043
1976,151,74562,1,0.045
1976,151,75285,2,0.091
1976,151,81742,623,136.985
1976,151,83020,7,0.816
1976,151,99990,,1.225
1976,153,10210,3,0.454
1976,153,10220,4,2.722
1976,153,10285,1,0.227
1976,153,21110,19,1.134
1976,153,21371,6,3.629
1976,153,21735,468,5.534
1976,153,21740,1,0.045
1976,153,23055,19,0.68
1976,153,24185,2,0.318
1976,153,24189,1,0.091
1976,153,41201,8,0.2
1976,153,66611,1,0.045
1976,153,69061,1,0.012
1976,153,69120,36,2.087
1976,153,69322,6,3.629
1976,153,71772,1,0.181
1976,153,71884,2,0.272
1976,153,75247,2,0.045
1976,153,75285,4,0.091
1976,153,80200,18,5.4
